,experiment_name,model_name,score
114,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_200_10,0.04583
115,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_100_50,0.04575
116,ud_pipe_czech_text,word2vec_50_50,0.04555
117,ud_pipe_czech_text,word2vec_50_10,0.04508
118,ud_pipe_czech_text,doc2vec_200_150,0.04389
119,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_100_25,0.04385
120,ud_pipe_czech_text,word2vec_50_100,0.04374
121,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_25_5,0.04316
122,ud_pipe_czech_text,word2vec_50_25,0.04306
123,ud_pipe_czech_text,doc2vec_200_100,0.04293
124,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_100_5,0.04291
125,ud_pipe_nazev_anotace_stopwords,doc2vec_200_50,0.04276
126,ud_pipe_czech_text,doc2vec_200_50,0.04241
127,ud_pipe_nazev_anotace_stopwords,doc2vec_200_25,0.04234
128,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_100_10,0.04219
129,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_100_50,0.04199
130,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_200_5,0.04180
131,ud_pipe_nazev_anotace_stopwords,fasttext_50_50,0.04174
132,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_25_10,0.04107
133,ud_pipe_nazev_anotace_stopwords,fasttext_50_25,0.04040
134,ud_pipe_nazev_anotace_stopwords,word2vec_25_10,0.03998
135,ud_pipe_nazev_anotace_stopwords,doc2vec_100_50,0.03987
136,tf_w2v_d2v_fast_eng_n_a_kwords_2,fasttext_50_25,0.03971
137,ud_pipe_nazev_anotace_stopwords,fasttext_50_5,0.03958
138,tf_w2v_d2v_fast_eng_n_a_kwords_2,word2vec_50_25,0.03954
139,ud_pipe_nazev_anotace_stopwords,word2vec_25_5,0.03935
140,ud_pipe_czech_text,doc2vec_100_150,0.03932
141,ud_pipe_czech_text,word2vec_25_25,0.03919
142,ud_pipe_czech_text,word2vec_25_10,0.03919
143,ud_pipe_czech_text,word2vec_25_50,0.03894
144,ud_pipe_czech_text,doc2vec_100_100,0.03881
